2023-04-29 12:08:33,105 p=6480 u=ubuntu n=ansible | fatal: [web01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpijrrzswyhosts'"}
2023-04-29 12:08:33,106 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770112.4446912-6644-107307890069273/tmpe8yj6h5x' -> b'/etc/hosts'
2023-04-29 12:08:33,106 p=6480 u=ubuntu n=ansible | fatal: [app01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpyew6x00chosts'"}
2023-04-29 12:08:33,107 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770112.5468285-6659-22358627098291/tmp8gqecl9e' -> b'/etc/hosts'
2023-04-29 12:08:33,107 p=6480 u=ubuntu n=ansible | fatal: [mc01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpy03_f3nyhosts'"}
2023-04-29 12:08:33,108 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770112.5028973-6648-26045242145737/tmppl5i9zl0' -> b'/etc/hosts'
2023-04-29 12:08:33,108 p=6480 u=ubuntu n=ansible | fatal: [rmq01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpux5u_m4xhosts'"}
2023-04-29 12:08:33,171 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770112.3170664-6642-163296598287539/tmpbvra_2pr' -> b'/etc/hosts'
2023-04-29 12:08:33,171 p=6480 u=ubuntu n=ansible | fatal: [cntl]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpd773y16vhosts'"}
2023-04-29 12:08:33,430 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770113.1773827-6699-105211879116873/tmprslt0o1n' -> b'/etc/hosts'
2023-04-29 12:08:33,431 p=6480 u=ubuntu n=ansible | fatal: [db01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpducm74gahosts'"}
2023-04-29 12:08:33,434 p=6480 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-04-29 12:08:33,434 p=6480 u=ubuntu n=ansible | app01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:33,435 p=6480 u=ubuntu n=ansible | cntl                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:33,435 p=6480 u=ubuntu n=ansible | db01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:33,435 p=6480 u=ubuntu n=ansible | mc01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:33,435 p=6480 u=ubuntu n=ansible | rmq01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:33,436 p=6480 u=ubuntu n=ansible | web01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
